TIME,MPH,INC,EDGE
02-Dec-2021 11:04:53.720,0.500000,0.500000,EDGE
02-Dec-2021 11:04:53.928,0.500000,0.500000,EDGE
02-Dec-2021 11:04:53.943,0.500000,0.500000,EDGE
02-Dec-2021 11:04:54.019,0.500000,0.500000,EDGE
02-Dec-2021 11:04:54.139,0.500000,0.500000,EDGE
02-Dec-2021 11:04:55.673,0.500000,1.000000,EDGE
02-Dec-2021 11:04:56.368,0.500000,2.000000,EDGE
02-Dec-2021 11:04:57.598,0.500000,5.000000,EDGE
02-Dec-2021 11:04:58.995,0.500000,8.000000,EDGE
02-Dec-2021 11:05:00.935,0.500000,8.500000,EDGE
02-Dec-2021 11:05:02.447,0.500000,8.500000,EDGE
02-Dec-2021 11:05:04.306,0.500000,8.500000,EDGE
02-Dec-2021 11:05:04.912,0.500000,8.500000,EDGE
02-Dec-2021 11:05:04.925,0.500000,8.500000,EDGE
02-Dec-2021 11:05:06.016,0.500000,8.500000,EDGE
02-Dec-2021 11:05:07.978,0.600000,8.500000,EDGE
02-Dec-2021 11:05:08.187,0.600000,8.500000,EDGE
02-Dec-2021 11:05:09.814,0.700000,8.500000,EDGE
02-Dec-2021 11:05:10.928,0.800000,8.500000,EDGE
02-Dec-2021 11:05:12.665,1.000000,8.500000,EDGE
02-Dec-2021 11:05:12.718,1.000000,8.500000,EDGE
02-Dec-2021 11:05:12.729,1.000000,8.500000,EDGE
02-Dec-2021 11:05:13.646,1.100000,8.500000,EDGE
02-Dec-2021 11:05:13.653,1.100000,8.500000,EDGE
02-Dec-2021 11:05:14.834,1.200000,8.500000,EDGE
02-Dec-2021 11:05:15.923,1.300000,8.500000,EDGE
02-Dec-2021 11:05:16.878,1.400000,8.500000,EDGE
02-Dec-2021 11:05:17.894,1.500000,8.500000,EDGE
02-Dec-2021 11:05:18.808,1.600000,8.500000,EDGE
02-Dec-2021 11:05:19.729,1.800000,8.500000,EDGE
02-Dec-2021 11:05:20.559,1.900000,8.500000,EDGE
02-Dec-2021 11:05:21.371,2.000000,8.500000,EDGE
02-Dec-2021 11:05:22.035,2.100000,8.500000,EDGE
02-Dec-2021 11:05:22.847,2.200000,8.500000,EDGE
02-Dec-2021 11:05:23.570,2.300000,8.500000,EDGE
02-Dec-2021 11:05:24.275,2.300000,8.500000,EDGE
02-Dec-2021 11:05:24.956,2.600000,8.500000,EDGE
02-Dec-2021 11:05:25.629,2.700000,8.500000,EDGE
02-Dec-2021 11:05:26.231,2.800000,8.500000,EDGE
02-Dec-2021 11:05:26.836,2.900000,8.500000,EDGE
02-Dec-2021 11:05:27.494,3.000000,8.500000,EDGE
02-Dec-2021 11:05:28.050,3.200000,8.500000,EDGE
02-Dec-2021 11:05:28.561,3.300000,8.500000,EDGE
02-Dec-2021 11:05:29.691,3.500000,8.500000,EDGE
02-Dec-2021 11:05:30.244,3.600000,8.500000,EDGE
02-Dec-2021 11:05:30.827,3.600000,8.500000,EDGE
02-Dec-2021 11:05:31.247,3.700000,8.500000,EDGE
02-Dec-2021 11:05:31.782,3.700000,8.500000,EDGE
02-Dec-2021 11:05:32.335,3.800000,8.500000,EDGE
02-Dec-2021 11:05:32.838,3.800000,8.500000,EDGE
02-Dec-2021 11:05:33.344,3.900000,8.500000,EDGE
02-Dec-2021 11:05:33.877,4.000000,8.500000,EDGE
02-Dec-2021 11:05:34.371,4.000000,8.500000,EDGE
02-Dec-2021 11:05:34.882,4.100000,8.500000,EDGE
02-Dec-2021 11:05:35.353,4.100000,8.500000,EDGE
02-Dec-2021 11:05:35.870,4.200000,8.500000,EDGE
02-Dec-2021 11:05:36.327,4.200000,8.500000,EDGE
02-Dec-2021 11:05:36.832,4.300000,8.500000,EDGE
02-Dec-2021 11:05:37.227,4.300000,8.500000,EDGE
02-Dec-2021 11:05:37.733,4.400000,8.500000,EDGE
02-Dec-2021 11:05:38.125,4.400000,8.500000,EDGE
02-Dec-2021 11:05:38.954,4.500000,8.500000,EDGE
02-Dec-2021 11:05:39.349,4.500000,8.500000,EDGE
02-Dec-2021 11:05:39.655,4.600000,8.500000,EDGE
02-Dec-2021 11:05:40.411,4.600000,8.500000,EDGE
02-Dec-2021 11:05:40.757,4.700000,8.500000,EDGE
02-Dec-2021 11:05:41.126,4.700000,8.500000,EDGE
02-Dec-2021 11:05:41.479,4.800000,8.500000,EDGE
02-Dec-2021 11:05:41.967,4.800000,8.500000,EDGE
02-Dec-2021 11:05:41.969,4.800000,8.500000,EDGE
02-Dec-2021 11:05:42.236,4.900000,8.500000,EDGE
02-Dec-2021 11:05:42.965,4.900000,8.500000,EDGE
02-Dec-2021 11:05:43.376,5.000000,8.500000,EDGE
02-Dec-2021 11:05:43.378,5.000000,8.500000,EDGE
02-Dec-2021 11:05:43.724,5.000000,8.500000,EDGE
02-Dec-2021 11:05:44.090,5.100000,8.500000,EDGE
02-Dec-2021 11:05:44.467,5.100000,8.500000,EDGE
02-Dec-2021 11:05:44.738,5.200000,8.500000,EDGE
