TIME,MPH,INC,FOOT
06-Jan-2023 10:07:09.934, 0, 0, 00
06-Jan-2023 10:07:10.834, 0, 0, 00
06-Jan-2023 10:07:11.733, 0, 0, 00
06-Jan-2023 10:07:12.633, 1, 0, 00
06-Jan-2023 10:07:13.533, 9, 0, 00
06-Jan-2023 10:07:14.433, 11, 0, 00
06-Jan-2023 10:07:15.334, 8, 0, 00
06-Jan-2023 10:07:16.234, 1, 0, 00
06-Jan-2023 10:07:17.133, 0, 0, 00
06-Jan-2023 10:07:18.033, 0, 0, 00
06-Jan-2023 10:07:18.933, 0, 0, 00
06-Jan-2023 10:07:19.834, 0, 0, 00
06-Jan-2023 10:07:20.733, 0, 0, 00
06-Jan-2023 10:07:21.634, 0, 0, 00
06-Jan-2023 10:07:22.533, 0, 0, 00
06-Jan-2023 10:07:23.433, 0, 0, 00
06-Jan-2023 10:07:24.334, 0, 0, 00
06-Jan-2023 10:07:25.233, 0, 0, 00
06-Jan-2023 10:07:26.135, 0, 0, 00
06-Jan-2023 10:07:27.034, 0, 0, 00
06-Jan-2023 10:07:27.934, 0, 0, 00
06-Jan-2023 10:07:28.835, 0, 0, 00
06-Jan-2023 10:07:29.733, 0, 0, 00
06-Jan-2023 10:07:30.634, 0, 0, 00
